feature,importance
num_sellers,0.022259606
num_items,0.027302885
total_price,0.0049632685
total_freight_value,0.047372248
avg_seller_lat,0.02430341
avg_seller_lng,0.02507304
max_product_weight_grams,0.016802702
max_product_length_cm,0.01608897
max_product_height_cm,0.015804945
max_product_width_cm,0.005052032
avg_product_name_length,0.0027624469
avg_product_description_length,0.007401591
avg_product_photos_qty,0.00640777
sel_state_AC,0.0
sel_state_AM,0.0
sel_state_BA,0.0
sel_state_CE,0.0
sel_state_DF,0.0
sel_state_ES,0.0
sel_state_GO,0.0
sel_state_MA,0.0
sel_state_MG,0.006708297
sel_state_MS,0.0
sel_state_MT,0.0
sel_state_PA,0.0
sel_state_PB,0.0
sel_state_PE,0.0
sel_state_PI,0.0
sel_state_PR,0.0
sel_state_RJ,0.0
sel_state_RN,0.0
sel_state_RO,0.0
sel_state_RS,0.0
sel_state_SC,0.015802853
sel_state_SE,0.0
sel_state_SP,0.0492616
cat_automotivo,0.0
cat_bebes,0.0
cat_beleza_saude,0.004929089
cat_brinquedos,0.0
cat_cama_mesa_banho,0.0
cat_consoles_games,0.0
cat_cool_stuff,0.0
cat_eletronicos,0.0
cat_esporte_lazer,0.0
cat_fashion_bolsas_e_acessorios,0.0
cat_ferramentas_jardim,0.011302235
cat_informatica_acessorios,0.0
cat_moveis_decoracao,0.0
cat_moveis_escritorio,0.0
cat_other,0.0
cat_papelaria,0.0
cat_perfumaria,0.0
cat_pet_shop,0.0
cat_relogios_presentes,0.0
cat_telefonia,0.0
cat_utilidades_domesticas,0.0
num_payments,0.0
num_installments,0.012668683
total_payment_value,0.013030179
pay_boleto,0.012695867
pay_credit_card,0.0
pay_debit_card,0.0
pay_not_defined,0.0
pay_voucher,0.0
customer_lat,0.03224911
customer_lng,0.10817842
cust_state_AC,0.0
cust_state_AL,0.014926367
cust_state_AM,0.0
cust_state_AP,0.0
cust_state_BA,0.0
cust_state_CE,0.0
cust_state_DF,0.0
cust_state_ES,0.0
cust_state_GO,0.0
cust_state_MA,0.012825323
cust_state_MG,0.066866204
cust_state_MS,0.0
cust_state_MT,0.0
cust_state_PA,0.0
cust_state_PB,0.0
cust_state_PE,0.0
cust_state_PI,0.0
cust_state_PR,0.03449343
cust_state_RJ,0.06043249
cust_state_RN,0.0
cust_state_RO,0.0
cust_state_RR,0.0
cust_state_RS,0.0
cust_state_SC,0.022282733
cust_state_SE,0.0
cust_state_SP,0.12333192
cust_state_TO,0.0
purchase_month,0.09010542
estimated_days,0.042796765
distance_km,0.04351805
avg_seller_lat_missing,0.0
avg_seller_lng_missing,0.0
distance_km_missing,0.0
max_product_weight_grams_missing,0.0
max_product_length_cm_missing,0.0
max_product_height_cm_missing,0.0
max_product_width_cm_missing,0.0
avg_product_name_length_missing,0.0
avg_product_description_length_missing,0.0
avg_product_photos_qty_missing,0.0
num_payments_missing,0.0
num_installments_missing,0.0
total_payment_value_missing,0.0
pay_boleto_missing,0.0
pay_credit_card_missing,0.0
pay_debit_card_missing,0.0
pay_not_defined_missing,0.0
pay_voucher_missing,0.0
customer_lat_missing,0.0
customer_lng_missing,0.0
